Age,Gender,Marital_Status,Education,Employment_Type,Annual_Income,Loan_Amount,Loan_Term,Credit_Score,Existing_Loans,DTI_Ratio,Savings_Amount,Collateral_Value,Loan_Status
18,Male,Married,Not Graduate,Unemployed,2361.0,50000.0,24,614.0,2,1.0,1131,281721,Rejected
33,Male,Single,Graduate,Self-Employed,760425.0,284164.0,60,691.0,1,0.1,147258,0,Approved
26,Female,Married,Graduate,Salaried,368602.0,89820.0,12,552.0,3,0.26,123628,0,Approved
54,Female,Married,Not Graduate,Self-Employed,1230973.0,1163929.0,24,617.0,2,0.27,285449,0,Approved
52,Female,Single,Graduate,Salaried,1320633.0,475277.0,48,568.0,2,0.11,135731,0,Approved
52,Male,Married,Graduate,Salaried,1264417.0,465394.0,12,352.0,0,0.39,296640,0,Approved
31,Male,Single,Not Graduate,Salaried,898351.0,116339.0,24,486.0,0,0.07,245396,0,Approved
34,Female,Single,Graduate,Self-Employed,1305452.0,125367.0,36,569.0,3,0.04,333737,0,Approved
24,Female,Married,Not Graduate,Salaried,966764.0,503497.0,12,631.0,3,0.56,277379,481565,Rejected
17,Female,Single,Not Graduate,Student,22721.0,82456.0,36,500.0,0,0.88,11019,60188,Rejected
59,Female,Married,Not Graduate,Self-Employed,655431.0,184441.0,48,587.0,2,0.09,205018,71345,Approved
44,Male,Single,Graduate,Salaried,921040.0,507204.0,36,485.0,0,0.22,126549,0,Approved
19,Female,Single,Not Graduate,Student,7964.0,50000.0,48,592.0,3,1.0,282,0,Rejected
41,Male,Married,Graduate,Salaried,1046976.0,513236.0,36,642.0,2,0.2,263711,0,Approved
24,Male,Single,Not Graduate,Part-Time,115998.0,51683.0,48,550.0,3,0.14,51921,0,Approved
44,Male,Single,Graduate,Self-Employed,1264473.0,646328.0,12,620.0,3,0.54,433977,0,Rejected
49,Female,Married,Graduate,Salaried,1109103.0,231070.0,36,649.0,3,0.08,455436,0,Approved
22,Female,Single,Not Graduate,Salaried,1489776.0,127343.0,12,564.0,0,0.09,652320,0,Approved
24,Female,Single,Graduate,Salaried,255295.0,54693.0,36,598.0,2,0.09,31837,373045,Approved
47,Male,Married,Not Graduate,Salaried,418278.0,103554.0,60,399.0,0,0.07,118514,0,Approved
17,Male,Single,Not Graduate,Unemployed,20119.0,50000.0,24,673.0,1,1.0,687,0,Rejected
22,Female,Single,Graduate,Part-Time,148328.0,57849.0,24,642.0,3,0.22,29953,0,Rejected
47,Male,Married,Graduate,Salaried,468330.0,256363.0,12,582.0,2,0.58,152098,0,Rejected
22,Male,Single,Graduate,Salaried,1213503.0,250169.0,48,609.0,3,0.07,525511,0,Approved
22,Male,Married,Not Graduate,Part-Time,175874.0,61115.0,48,577.0,3,0.11,21136,0,Rejected
59,Female,Married,Graduate,Self-Employed,1718453.0,454218.0,12,623.0,3,0.28,376965,0,Approved
52,Male,Married,Graduate,Salaried,1293701.0,60266.0,36,526.0,0,0.02,147428,0,Approved
32,Male,Married,Graduate,Self-Employed,527479.0,274143.0,36,661.0,2,0.21,170044,0,Approved
49,Male,Married,Graduate,Salaried,328541.0,188694.0,36,632.0,2,0.23,62267,0,Approved
26,Female,Married,Not Graduate,Self-Employed,1011390.0,254948.0,60,639.0,1,0.07,11769,0,Rejected
23,Male,Single,Graduate,Part-Time,189911.0,83231.0,12,607.0,2,0.47,954,120232,Rejected
53,Male,Married,Not Graduate,Self-Employed,1472602.0,150462.0,48,653.0,3,0.03,716445,0,Approved
51,Female,Married,Not Graduate,Self-Employed,1026265.0,478278.0,48,581.0,2,0.15,512822,251953,Approved
49,Male,Single,Graduate,Salaried,2799785.0,349618.0,60,441.0,0,0.07,57330,0,Approved
17,Male,Married,Not Graduate,Unemployed,15981.0,50000.0,48,533.0,0,0.99,2731,0,Approved
29,Male,Married,Not Graduate,Salaried,1275615.0,723797.0,12,654.0,2,0.6,320329,157475,Rejected
25,Male,Married,Not Graduate,Salaried,259818.0,89399.0,36,667.0,3,0.14,31063,0,Rejected
17,Female,Married,Not Graduate,Unemployed,13794.0,50000.0,12,546.0,0,1.0,1081,406996,Rejected
50,Male,Single,Not Graduate,Salaried,1004067.0,432835.0,12,681.0,1,0.46,149558,0,Rejected
48,Male,Single,Graduate,Salaried,1267795.0,600805.0,12,682.0,1,0.51,605730,0,Rejected
52,Female,Married,Graduate,Part-Time,1887468.0,281227.0,36,644.0,2,0.06,618912,0,Approved
30,Male,Married,Graduate,Salaried,1099354.0,343275.0,60,614.0,1,0.08,314486,189691,Approved
31,Male,Married,Graduate,Self-Employed,1084942.0,607598.0,60,598.0,2,0.15,468585,0,Approved
21,Male,Married,Graduate,Part-Time,82696.0,50000.0,24,568.0,2,0.34,13342,0,Rejected
38,Male,Married,Not Graduate,Self-Employed,1285407.0,321477.0,36,442.0,0,0.1,167053,0,Rejected
60,Male,Single,Graduate,Salaried,480810.0,206150.0,12,589.0,2,0.46,172390,0,Rejected
32,Female,Single,Graduate,Salaried,927583.0,375328.0,48,570.0,2,0.13,360176,54971,Approved
38,Female,Single,Graduate,Salaried,1183629.0,423492.0,48,581.0,0,0.11,568912,211500,Approved
53,Male,Married,Graduate,Self-Employed,480694.0,214028.0,24,539.0,0,0.25,74270,0,Approved
20,Male,Single,Not Graduate,Unemployed,7838.0,76337.0,36,650.0,3,1.0,2245,0,Rejected
48,Female,Single,Not Graduate,Self-Employed,1012898.0,110546.0,12,635.0,3,0.12,134979,100203,Approved
21,Male,Single,Graduate,Part-Time,185179.0,103926.0,48,640.0,1,0.18,49575,0,Rejected
28,Male,Married,Not Graduate,Self-Employed,1731939.0,729592.0,60,442.0,0,0.11,648930,257856,Approved
44,Female,Single,Graduate,Salaried,1286611.0,939391.0,48,671.0,1,0.12,595955,0,Approved
25,Female,Married,Graduate,Salaried,274330.0,163804.0,24,683.0,1,0.34,15933,0,Rejected
20,Female,Single,Graduate,Unemployed,21773.0,50000.0,60,652.0,2,0.61,3147,492228,Rejected
28,Female,Married,Graduate,Self-Employed,,,60,,0,0.07,273040,0,Approved
19,Female,Single,Graduate,Unemployed,11660.0,50000.0,60,692.0,1,1.0,3536,189222,Rejected
43,Male,Married,Graduate,Salaried,362833.0,160885.0,12,563.0,0,0.47,101050,0,Rejected
53,Male,Single,Graduate,Self-Employed,1165288.0,83131.0,36,626.0,3,0.03,58808,0,Approved
50,Female,Married,Graduate,Salaried,635552.0,121885.0,48,689.0,1,0.06,17527,258516,Approved
39,Male,Married,Graduate,Salaried,1485225.0,59686.0,12,660.0,2,0.04,457020,0,Rejected
56,Female,Married,Graduate,Self-Employed,635252.0,52453.0,48,618.0,2,0.03,150905,0,Approved
25,Male,Married,Not Graduate,Salaried,1189847.0,120433.0,48,700.0,1,0.03,424853,0,Approved
53,Male,Married,Graduate,Salaried,1020505.0,120962.0,60,576.0,3,0.03,311546,234555,Approved
57,Male,Married,Graduate,Salaried,295213.0,116918.0,36,473.0,0,0.16,146889,0,Approved
18,Male,Single,Graduate,Unemployed,17996.0,50000.0,36,670.0,3,1.0,7271,173667,Approved
22,Male,Single,Graduate,Part-Time,116706.0,52823.0,24,362.0,0,0.26,30911,0,Rejected
23,Male,Married,Not Graduate,Part-Time,195358.0,86147.0,60,579.0,3,0.12,54840,0,Approved
17,Female,Single,Not Graduate,Unemployed,5471.0,50000.0,12,590.0,3,1.0,310,0,Rejected
60,Female,Single,Not Graduate,Self-Employed,611777.0,282987.0,12,604.0,1,0.49,61002,294214,Rejected
46,Female,Married,Not Graduate,Salaried,1107687.0,188334.0,60,576.0,0,0.05,47158,0,Rejected
37,Female,Single,Not Graduate,Self-Employed,1913279.0,1075051.0,12,621.0,1,0.6,642980,282537,Rejected
19,Male,Married,Graduate,Unemployed,6540.0,50000.0,24,667.0,1,1.0,1819,0,Approved
23,Male,Married,Not Graduate,Part-Time,103202.0,51482.0,12,462.0,0,0.53,44751,0,Rejected
27,Male,Married,Not Graduate,Salaried,438066.0,157713.0,24,629.0,1,0.2,54901,0,Approved
33,Male,Single,Graduate,Salaried,1169570.0,280198.0,48,651.0,2,0.08,8972,0,Rejected
36,Female,Single,Not Graduate,Self-Employed,2799785.0,496698.0,24,561.0,0,0.15,27792,0,Rejected
18,Male,Married,Not Graduate,Unemployed,87.0,76601.0,36,678.0,3,1.0,32,0,Rejected
17,Male,Single,Not Graduate,Student,29959.0,50000.0,36,639.0,2,0.67,8919,0,Rejected
18,Male,Single,Not Graduate,Unemployed,7323.0,50000.0,60,617.0,2,1.0,133,81064,Rejected
45,Female,Married,Graduate,Self-Employed,1116597.0,612601.0,60,486.0,0,0.15,140428,0,Approved
47,Female,Single,Graduate,Salaried,1358665.0,615989.0,12,464.0,0,0.48,485386,351436,Rejected
18,Male,Married,Not Graduate,Student,20450.0,50000.0,36,618.0,2,0.97,2153,0,Rejected
58,Male,Married,Not Graduate,Salaried,1180695.0,549956.0,48,643.0,1,0.1,70216,170702,Approved
41,Female,Single,Not Graduate,Self-Employed,1477225.0,57779.0,48,643.0,1,0.01,25463,423135,Approved
56,Male,Married,Not Graduate,Salaried,1417776.0,791331.0,48,350.0,0,0.18,25578,0,Rejected
42,Male,Single,Not Graduate,Self-Employed,892987.0,220378.0,12,614.0,1,0.26,276721,0,Approved
51,Male,Single,Not Graduate,Salaried,1383635.0,169047.0,24,599.0,2,0.07,446688,0,Approved
19,Female,Single,Not Graduate,Unemployed,3269.0,50000.0,60,454.0,0,1.0,1086,171401,Rejected
50,Female,Single,Not Graduate,Self-Employed,489624.0,55373.0,36,626.0,2,0.05,194115,0,Approved
28,Female,Married,Not Graduate,Self-Employed,1244952.0,374850.0,24,554.0,3,0.17,575631,0,Approved
39,Female,Married,Not Graduate,Salaried,1194692.0,455391.0,36,673.0,2,0.15,13546,0,Rejected
46,Female,Single,Not Graduate,Salaried,1161349.0,52317.0,60,661.0,3,0.01,234853,0,Approved
43,Female,Married,Graduate,Salaried,861887.0,281546.0,12,364.0,0,0.35,259833,0,Approved
58,Male,Single,Not Graduate,Self-Employed,1221860.0,414578.0,48,569.0,2,0.11,11866,0,Rejected
25,Male,Single,Graduate,Salaried,926271.0,337429.0,36,440.0,0,0.15,356822,0,Approved
54,Male,Single,Not Graduate,Self-Employed,1298962.0,183756.0,48,431.0,0,0.04,421617,223689,Approved
19,Male,Single,Not Graduate,Unemployed,22871.0,50000.0,36,609.0,3,0.87,7056,0,Rejected
18,Male,Married,Graduate,Unemployed,22949.0,50000.0,60,414.0,0,0.58,3929,0,Rejected
41,Male,Married,Graduate,Self-Employed,1839839.0,850277.0,24,553.0,3,0.26,671716,0,Approved
34,Female,Married,Graduate,Salaried,849731.0,519063.0,12,648.0,2,0.38,84932,0,Approved
40,Female,Married,Graduate,Salaried,946201.0,477138.0,60,572.0,3,0.13,343167,329436,Approved
48,Male,Married,Graduate,Self-Employed,1468218.0,433984.0,60,575.0,2,0.08,393028,0,Approved
58,Male,Married,Graduate,Self-Employed,881263.0,474527.0,36,585.0,0,0.21,375152,0,Approved
23,Male,Married,Graduate,Salaried,832362.0,136625.0,36,594.0,3,0.07,270327,0,Approved
17,Female,Single,Not Graduate,Unemployed,21160.0,50000.0,12,609.0,1,1.0,2573,0,Approved
17,Female,Married,Graduate,Student,,,60,,0,0.49,117,276968,Rejected
36,Male,Married,Graduate,Salaried,423546.0,202591.0,12,584.0,3,0.51,10816,162488,Rejected
24,Female,Married,Graduate,Salaried,314407.0,56286.0,12,633.0,2,0.19,108966,0,Approved
19,Female,Single,Graduate,Student,2843.0,50000.0,12,629.0,3,1.0,1274,0,Rejected
41,Male,Married,Not Graduate,Self-Employed,1999712.0,839469.0,36,649.0,3,0.17,223558,127444,Approved
36,Male,Married,Not Graduate,Self-Employed,1033035.0,570316.0,12,424.0,0,0.59,31743,0,Rejected
43,Female,Single,Not Graduate,Salaried,1395005.0,123729.0,36,691.0,1,0.04,388172,0,Approved
29,Female,Single,Not Graduate,Self-Employed,,,48,,3,0.18,371992,0,Rejected
36,Female,Single,Not Graduate,Self-Employed,1508227.0,288193.0,24,684.0,1,0.11,733133,248756,Approved
54,Female,Married,Not Graduate,Self-Employed,451891.0,129885.0,36,561.0,2,0.11,58381,334186,Approved
45,Female,Single,Not Graduate,Self-Employed,347064.0,182685.0,60,573.0,3,0.14,28573,0,Rejected
38,Male,Single,Graduate,Salaried,886232.0,285643.0,12,606.0,1,0.34,296990,0,Approved
60,Male,Married,Graduate,Salaried,365936.0,184510.0,48,515.0,0,0.16,86493,0,Approved
56,Male,Single,Graduate,Salaried,,,60,,1,0.12,139153,0,Approved
41,Female,Married,Graduate,Self-Employed,1133704.0,586794.0,36,530.0,0,0.21,65691,0,Approved
59,Female,Married,Not Graduate,Self-Employed,469511.0,189873.0,48,671.0,3,0.13,38246,350337,Approved
35,Male,Single,Graduate,Salaried,783140.0,275196.0,36,550.0,2,0.14,16149,188645,Approved
58,Female,Single,Not Graduate,Salaried,578296.0,289994.0,12,676.0,2,0.53,282674,62536,Rejected
30,Male,Single,Graduate,Self-Employed,1563766.0,730800.0,12,627.0,3,0.5,745055,225423,Rejected
34,Female,Single,Not Graduate,Salaried,524238.0,128287.0,24,640.0,1,0.14,42986,89184,Approved
27,Female,Married,Not Graduate,Self-Employed,1121497.0,110298.0,12,658.0,1,0.1,47905,0,Rejected
41,Female,Married,Graduate,Salaried,438465.0,133415.0,24,629.0,2,0.17,99338,0,Approved
27,Female,Single,Graduate,Self-Employed,512828.0,103604.0,36,674.0,2,0.08,212740,0,Approved
46,Female,Single,Graduate,Self-Employed,1371719.0,559019.0,24,669.0,1,0.12,292416,0,Rejected
41,Female,Single,Graduate,Self-Employed,867044.0,294502.0,12,602.0,3,0.36,221577,0,Approved
29,Male,Single,Not Graduate,Self-Employed,991508.0,483915.0,48,571.0,3,0.15,272356,0,Approved
56,Male,Single,Not Graduate,Salaried,760312.0,101433.0,36,504.0,0,0.05,132490,0,Approved
22,Female,Married,Not Graduate,Part-Time,104368.0,58643.0,24,570.0,3,0.32,9068,0,Rejected
19,Female,Single,Graduate,Student,13824.0,50000.0,60,656.0,1,0.97,550,0,Rejected
23,Male,Single,Not Graduate,Salaried,720817.0,336760.0,60,602.0,2,0.12,20216,0,Rejected
32,Male,Single,Not Graduate,Salaried,934751.0,121924.0,36,586.0,0,0.05,75184,0,Approved
43,Male,Married,Graduate,Self-Employed,950504.0,133236.0,12,563.0,3,0.15,320725,0,Approved
19,Male,Single,Not Graduate,Unemployed,19136.0,50000.0,60,552.0,3,0.7,1600,0,Rejected
58,Male,Married,Graduate,Salaried,861064.0,452883.0,12,468.0,0,0.56,242584,0,Rejected
25,Male,Single,Not Graduate,Part-Time,156515.0,68699.0,60,666.0,3,0.12,4445,0,Rejected
17,Male,Married,Not Graduate,Unemployed,9069.0,50000.0,48,564.0,2,1.0,3482,0,Rejected
22,Female,Single,Graduate,Salaried,,,60,,3,0.11,35233,0,Rejected
20,Female,Single,Not Graduate,Student,11978.0,50000.0,60,561.0,2,1.0,4410,288272,Rejected
23,Male,Single,Graduate,Part-Time,173691.0,62621.0,48,626.0,1,0.11,25165,0,Rejected
19,Male,Married,Not Graduate,Unemployed,11697.0,50000.0,24,692.0,1,1.0,3084,0,Rejected
60,Female,Married,Graduate,Salaried,386227.0,59111.0,48,694.0,1,0.05,153731,180215,Approved
47,Female,Single,Graduate,Self-Employed,1695452.0,522506.0,60,669.0,3,0.08,197116,0,Approved
44,Female,Married,Not Graduate,Self-Employed,680791.0,273549.0,60,678.0,1,0.11,338932,463284,Approved
47,Female,Married,Not Graduate,Self-Employed,1535823.0,869401.0,12,530.0,0,0.6,156552,0,Rejected
36,Female,Single,Graduate,Self-Employed,1710040.0,735403.0,12,632.0,2,0.46,141479,0,Rejected
35,Male,Married,Graduate,Self-Employed,677876.0,390099.0,60,700.0,1,0.15,299024,0,Approved
36,Female,Married,Not Graduate,Salaried,1485389.0,1254219.0,36,664.0,1,0.21,18404,0,Rejected
18,Female,Single,Not Graduate,Unemployed,8425.0,50000.0,24,614.0,3,1.0,915,333550,Rejected
35,Female,Single,Not Graduate,Salaried,1223971.0,693806.0,60,657.0,2,0.15,127106,0,Approved
23,Female,Married,Graduate,Part-Time,126343.0,101068.0,48,569.0,3,0.16,34950,0,Rejected
39,Male,Married,Graduate,Salaried,729411.0,315901.0,24,541.0,0,0.24,35496,0,Rejected
24,Female,Married,Graduate,Salaried,1483218.0,254548.0,24,581.0,3,0.1,213146,255286,Approved
55,Female,Single,Not Graduate,Salaried,1079617.0,429316.0,48,603.0,1,0.13,495268,0,Approved
36,Male,Single,Not Graduate,Self-Employed,577786.0,221790.0,48,615.0,3,0.12,218896,305265,Approved
34,Male,Single,Graduate,Salaried,350386.0,111258.0,60,636.0,1,0.08,144035,357787,Approved
26,Male,Single,Not Graduate,Salaried,399838.0,62459.0,12,577.0,3,0.17,178689,0,Approved
17,Male,Single,Graduate,Student,18301.0,50000.0,48,678.0,2,0.86,3145,0,Rejected
24,Male,Single,Not Graduate,Salaried,512603.0,291765.0,24,557.0,3,0.32,26692,0,Rejected
56,Male,Married,Not Graduate,Salaried,1433556.0,696312.0,12,620.0,2,0.52,630338,0,Rejected
31,Male,Single,Not Graduate,Self-Employed,1522460.0,890853.0,12,557.0,0,0.62,282355,0,Rejected
47,Female,Single,Graduate,Salaried,638076.0,510866.0,48,575.0,2,0.13,270170,0,Approved
20,Female,Single,Not Graduate,Student,8691.0,50000.0,36,658.0,3,1.0,3644,0,Rejected
36,Female,Married,Graduate,Self-Employed,1499809.0,753354.0,12,616.0,2,0.54,44581,0,Rejected
20,Male,Single,Graduate,Part-Time,24848.0,50000.0,24,592.0,3,1.0,12036,0,Rejected
57,Male,Single,Not Graduate,Salaried,1066294.0,277002.0,12,608.0,2,0.28,183078,0,Approved
50,Male,Single,Not Graduate,Self-Employed,1116932.0,590022.0,48,559.0,2,0.17,317153,397969,Approved
59,Male,Married,Graduate,Self-Employed,1370053.0,928683.0,12,602.0,2,0.54,305449,0,Rejected
52,Female,Single,Not Graduate,Salaried,584634.0,430178.0,60,601.0,1,0.15,32014,0,Rejected
25,Male,Married,Not Graduate,Salaried,1473117.0,121005.0,24,604.0,1,0.05,41678,0,Rejected
17,Female,Married,Not Graduate,Unemployed,29285.0,50000.0,36,610.0,1,0.68,9302,418810,Rejected
34,Male,Single,Not Graduate,Salaried,602317.0,306528.0,60,676.0,1,0.14,49291,0,Rejected
47,Male,Married,Graduate,Self-Employed,628558.0,306713.0,24,556.0,0,0.28,162561,0,Approved
31,Female,Single,Graduate,Salaried,487856.0,114916.0,12,377.0,0,0.25,12851,0,Rejected
39,Female,Married,Not Graduate,Self-Employed,1251030.0,633506.0,60,608.0,1,0.14,533135,0,Approved
36,Male,Married,Not Graduate,Salaried,1430153.0,702879.0,48,652.0,3,0.16,150721,0,Approved
32,Female,Single,Graduate,Self-Employed,1614320.0,863143.0,12,642.0,1,0.57,124954,262052,Rejected
24,Male,Single,Graduate,Salaried,505921.0,284847.0,12,580.0,0,0.6,245801,405341,Rejected
60,Female,Single,Graduate,Self-Employed,885539.0,54469.0,12,616.0,2,0.07,250897,0,Approved
18,Male,Married,Graduate,Student,16300.0,50000.0,12,405.0,0,1.0,802,362081,Rejected
37,Female,Married,Graduate,Salaried,252884.0,146974.0,24,616.0,1,0.33,122989,0,Approved
18,Female,Single,Not Graduate,Student,23278.0,50000.0,60,692.0,1,0.57,7103,0,Rejected
39,Female,Married,Graduate,Self-Employed,1453320.0,660067.0,48,595.0,2,0.14,175804,0,Approved
50,Male,Married,Graduate,Self-Employed,1511627.0,671508.0,36,564.0,2,0.18,229368,0,Approved
33,Male,Married,Graduate,Salaried,640504.0,103601.0,36,660.0,3,0.06,241071,0,Approved
44,Female,Married,Not Graduate,Salaried,357431.0,209078.0,12,442.0,0,0.62,12559,398521,Rejected
58,Female,Married,Not Graduate,Salaried,805577.0,188976.0,48,579.0,3,0.07,8080,0,Rejected
20,Male,Married,Graduate,Student,18030.0,50000.0,12,594.0,3,1.0,8405,387456,Rejected
39,Male,Married,Not Graduate,Salaried,572193.0,236993.0,12,646.0,3,0.44,237071,0,Approved
45,Male,Single,Graduate,Self-Employed,1353665.0,186062.0,12,557.0,0,0.15,399695,0,Approved
37,Male,Married,Graduate,Self-Employed,323421.0,135696.0,48,354.0,0,0.13,41025,0,Rejected
21,Female,Single,Not Graduate,Part-Time,138303.0,53230.0,60,639.0,2,0.1,4632,0,Rejected
20,Female,Single,Not Graduate,Unemployed,5717.0,50000.0,60,668.0,1,1.0,1898,0,Rejected
38,Male,Married,Graduate,Self-Employed,1476574.0,830018.0,12,411.0,0,0.6,114694,0,Rejected
17,Female,Single,Not Graduate,Student,33971.0,68271.0,48,621.0,2,0.47,4508,0,Approved
33,Male,Single,Graduate,Salaried,1399533.0,628219.0,24,597.0,2,0.25,436069,0,Approved
57,Female,Single,Graduate,Self-Employed,706797.0,274665.0,24,613.0,3,0.22,22647,0,Rejected
44,Male,Married,Not Graduate,Self-Employed,460146.0,241106.0,12,670.0,2,0.56,200093,0,Rejected
52,Female,Single,Graduate,Salaried,513302.0,241567.0,36,675.0,3,0.19,71050,0,Approved
27,Female,Married,Not Graduate,Self-Employed,486201.0,151299.0,12,589.0,3,0.33,209329,283189,Approved
38,Male,Married,Graduate,Salaried,1081943.0,447605.0,48,567.0,2,0.13,333578,0,Approved
29,Male,Married,Graduate,Self-Employed,1999451.0,348364.0,24,671.0,2,0.05,65273,0,Approved
20,Male,Married,Graduate,Student,22202.0,50000.0,36,494.0,0,0.9,9859,0,Rejected
51,Female,Married,Not Graduate,Self-Employed,1669684.0,864249.0,36,489.0,0,0.21,294272,0,Approved
19,Female,Single,Graduate,Unemployed,2799785.0,,24,,2,1.0,2286,0,Rejected
36,Male,Single,Not Graduate,Self-Employed,669264.0,165814.0,60,654.0,1,0.07,280392,0,Approved
36,Male,Married,Not Graduate,Self-Employed,569749.0,59249.0,12,581.0,2,0.11,239218,0,Approved
26,Male,Married,Not Graduate,Salaried,337530.0,117892.0,24,650.0,1,0.2,8178,0,Rejected
57,Female,Single,Graduate,Self-Employed,1844075.0,1058923.0,24,665.0,1,0.32,13942,0,Rejected
50,Female,Married,Graduate,Self-Employed,1504463.0,705974.0,60,580.0,3,0.13,537830,0,Approved
17,Male,Married,Graduate,Student,3108.0,50000.0,24,670.0,2,1.0,439,0,Rejected
33,Female,Single,Not Graduate,Salaried,358428.0,170197.0,60,520.0,0,0.13,99706,0,Approved
17,Male,Married,Graduate,Student,32533.0,73288.0,48,411.0,0,0.49,13403,0,Rejected
44,Male,Single,Graduate,Self-Employed,,,12,,2,0.49,201383,0,Rejected
23,Male,Single,Graduate,Part-Time,144728.0,51881.0,24,566.0,0,0.2,44518,0,Rejected
17,Female,Married,Not Graduate,Unemployed,27551.0,50000.0,12,673.0,1,1.0,8140,0,Approved
48,Female,Single,Graduate,Salaried,987860.0,294358.0,48,496.0,0,0.09,394081,0,Approved
58,Female,Single,Not Graduate,Self-Employed,,,24,,0,0.27,439071,0,Approved
17,Female,Single,Graduate,Unemployed,26057.0,50000.0,12,375.0,0,1.0,5369,386557,Rejected
